Product Name,Product URL,product_url_base,Image URL,Variant Option,Price,Currency,Availability,Customization Options,Shipping Min (days),Shipping Max (days)
Bengali Oval Hand-painted Character Nameboard,https://www.zwende.com/products/bengali-oval-hand-painted-character-name-plate,https://www.zwende.com/products/bengali-oval-hand-painted-character-name-plate,https://www.zwende.com/cdn/shop/products/Bengali-ShivikaSugam_1.jpg?v=1673946480,12 x 10 inches,2600,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Oval Hand-painted Character Nameboard,https://www.zwende.com/products/bengali-oval-hand-painted-character-name-plate,https://www.zwende.com/products/bengali-oval-hand-painted-character-name-plate,https://www.zwende.com/cdn/shop/products/Bengali-ShivikaSugam_1.jpg?v=1673946480,12 x 10 inches,2300,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Personalised Wooden Oval Floral Name Plate,https://www.zwende.com/products/bengali-personalised-wooden-oval-floral-nameplate,https://www.zwende.com/products/bengali-personalised-wooden-oval-floral-nameplate,https://www.zwende.com/cdn/shop/files/Personalised-Wooden-Oval-Floral-Nameplate---Rosabelia-_-Humans521_83555d93-3bb4-416f-9cef-17079095f7f1.jpg?v=1701934207,10 x 6 inch,2150,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Personalised Wooden Oval Floral Name Plate,https://www.zwende.com/products/bengali-personalised-wooden-oval-floral-nameplate,https://www.zwende.com/products/bengali-personalised-wooden-oval-floral-nameplate,https://www.zwende.com/cdn/shop/files/Personalised-Wooden-Oval-Floral-Nameplate---Rosabelia-_-Humans521_83555d93-3bb4-416f-9cef-17079095f7f1.jpg?v=1701934207,16 x 10 inch,3250,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Personalized Photo Based Character Sketch Nameboard - Oval,https://www.zwende.com/products/bengali-personalized-character-sketch-name-plate-oval,https://www.zwende.com/products/bengali-personalized-character-sketch-name-plate-oval,https://www.zwende.com/cdn/shop/products/Bengali-Arora_2.jpg?v=1674124964,Oval - Single Character,3250,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Personalized Photo Based Character Sketch Nameboard - Oval,https://www.zwende.com/products/bengali-personalized-character-sketch-name-plate-oval,https://www.zwende.com/products/bengali-personalized-character-sketch-name-plate-oval,https://www.zwende.com/cdn/shop/products/Bengali-Arora_2.jpg?v=1674124964,Oval - Two Characters,3900,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Personalized Photo Based Character Sketch Nameboard - Oval,https://www.zwende.com/products/bengali-personalized-character-sketch-name-plate-oval,https://www.zwende.com/products/bengali-personalized-character-sketch-name-plate-oval,https://www.zwende.com/cdn/shop/products/Bengali-Arora_2.jpg?v=1674124964,Oval - Three Characters,4650,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Personalized Photo Based Character Sketch Nameboard - Oval,https://www.zwende.com/products/bengali-personalized-character-sketch-name-plate-oval,https://www.zwende.com/products/bengali-personalized-character-sketch-name-plate-oval,https://www.zwende.com/cdn/shop/products/Bengali-Arora_2.jpg?v=1674124964,Oval - Four Characters,5400,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Rectangle Hand-painted Family Character Nameboard,https://www.zwende.com/products/bengali-rectangle-hand-painted-family-character-name-plate,https://www.zwende.com/products/bengali-rectangle-hand-painted-family-character-name-plate,https://www.zwende.com/cdn/shop/products/Bengali-Likhdhari1.jpg?v=1673945784,11 x 8 inches,2400,INR,InStock,"Font, Image Upload, Text",3,15
Bengali Rectangle Hand-painted Family Character Nameboard,https://www.zwende.com/products/bengali-rectangle-hand-painted-family-character-name-plate,https://www.zwende.com/products/bengali-rectangle-hand-painted-family-character-name-plate,https://www.zwende.com/cdn/shop/products/Bengali-Likhdhari1.jpg?v=1673945784,11 x 8 inches,2100,INR,InStock,"Font, Image Upload, Text",3,15
